Date,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CZK,DKK,DOP,EUR,GBP,HKD,HRK,HUF,INR,IDR,IRR,JPY,KES,MAD,MXN,MYR,NGN,NOK,NZD,PEN,PHP,PKR,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TZS,UAH,USD,VEF,VND,ZAR
6/14/2014,23.08,255.48,477.92,780.46,680.77,354.96,423.41,,,331.28,303.39,,472.91,607.27,1000,352.72,1000,499.77,280.81,601.02,1000,,,440.89,,,779.82,597.22,,357.84,,1000,329.68,,,618.63,450.1,656.28,,,,577.96,,,
6/21/2014,60.87,644.82,435.47,428.04,407.47,599.17,577.94,,,177.37,136.59,,494.27,531.54,267.24,558.87,274.01,476.29,347.33,365.05,690.77,,,271.91,,,830.88,437.91,,225.08,,604.31,286.22,,,692.01,271.59,608.42,,,,511.72,,,
6/28/2014,687.98,672.75,416.02,151.32,409.21,752.63,1000,,,154.05,425.2,,570.01,430.77,549.83,353.37,470.33,381.46,385.99,179,379.52,,,412.89,,,493.86,355.19,,668.51,,999.55,990.65,,,554.77,284.35,373.76,,,,501.4,,,
7/5/2014,80.73,512.58,464.01,263.73,404.75,594.73,1000,,,340.11,115.83,,656.77,497.88,434.83,259.4,49.86,724.16,384.95,5.92,90.71,,,305.19,,,419.5,330.12,,717.7,,976.67,426.18,,,507.85,231.32,635.38,,,,550,,,
7/12/2014,446.16,589.28,529.74,116.56,488.99,313.74,423.12,,,633.28,374.58,,464.14,377.38,208.96,533.01,198.07,1000,498.16,6.98,315.51,,,417.29,,,569.93,530.43,,184.09,,431.37,944.63,,,484.37,318.74,684.48,,,,523.33,,,
7/19/2014,894.49,759.85,591.81,394.96,430.61,521.77,272.3,,,493.57,258.01,,398.77,387.83,139.8,294.52,916.58,382.59,598.89,9.1,1000,,,571.32,,,582.14,477.43,,663.85,,281.97,1000,,,449.86,613.03,511.89,,,,494.35,,,
7/26/2014,1000,492.49,398.27,424.34,652.47,494.89,492.09,,,514.16,610.93,,444.67,487.04,288.63,771.93,285.14,426.94,651.73,9.71,1000,,,560.02,,,515.29,515.61,,537.46,,495.69,307.01,,,607.27,230.31,410.43,,,,518.61,,,
8/2/2014,1000,331.14,546.69,649.08,444.1,273.94,106.31,,,463.01,736.97,,534.36,479.22,1000,623.94,424.1,500.53,639.63,1000,904.96,,,534.31,,,308.57,466.45,,263.25,,302.82,755.24,,,432.78,1000,437.26,,,,507.87,,,
8/9/2014,861.43,562.8,548.76,1000,479.94,413.08,116.83,,,546.66,495.83,,443.27,594.38,640.78,360.25,701.35,409,629.31,614.26,1000,,,542.92,,,707.11,570.76,,550.91,,286.66,449.76,,,671.36,175.21,693.11,,,,506.94,,,
8/16/2014,437.69,1000,670.43,1000,452.11,387.04,514.62,,,493.24,120.2,,488.2,506.76,928.79,1000,1000,381.73,620.41,1000,4.47,,,913.72,,,704.45,512,,446.43,,553.56,443.87,,,633.62,607.48,590.56,,,,492.57,,,
