Index,Date,BTCAED,BTCARS,BTCAUD,BTCBRL,BTCCAD,BTCCHF,BTCCLP,BTCCNY,BTCCOP,BTCCZK,BTCDKK,BTCDOP,BTCEUR,BTCGBP,BTCHKD,BTCHRK,BTCHUF,BTCINR,BTCIDR,BTCIRR,BTCJPY,BTCKES,BTCKZT,BTCMAD,BTCMXN,BTCMYR,BTCNGN,BTCNOK,BTCNZD,BTCPEN,BTCPHP,BTCPKR,BTCPLN,BTCRON,BTCRUB,BTCSAR,BTCSEK,BTCSGD,BTCTHB,BTCTRY,BTCTZS,BTCUAH,BTCUSD,BTCVEF,BTCVND,BTCZAR
33,10/19/2013,1107.8,1740,201.82,431.63,198.05,184.67,111937.78,1074.69,305551.92,3457.78,1036.83,,133.52,119.87,1532.42,1130.27,38454.97,10229.82,1959321,,21384.04,,,,2489.83,633.81,34084.72,1180.15,217.26,,8564.32,,525.66,560.76,5572.7,,1209.9,228.95,5538.14,574.1,,2427.5,196.58,7926.33,,1922.95
34,10/26/2013,1300.4,1907.97,215.32,480.83,220.69,185.56,117309.35,1284.6,350109.17,3819.41,1173.28,,142.54,129.79,1594.7,1252.56,41515.41,11284.38,2292082,,21738.72,,,,2658.13,599.42,42761.11,1248.63,246.5,,8464.8,,659.97,561.13,6115.79,,1301.28,245.53,5804.12,871.28,,2791.88,215.06,9352.67,,2128.35
35,11/2/2013,1493,2538.43,284.77,691.82,309.74,244.87,169960.44,1542.49,596097.11,4842.23,1506.73,,183.76,186.33,2467.98,1701.29,59332.2,18474.65,2700927.7,,28460.06,,,,3806.72,914.81,51437.5,1633.07,337.7,,11003.2,,917.55,911.67,7487.27,,1729.13,311.7,7920.75,1168.46,,3156.25,284.98,10779,,3022.09
36,11/9/2013,1949.62,3767.03,422.42,1023.73,432.17,318.52,196884.27,2454.73,850732.09,7854.31,2172.44,,267.68,257.63,3013.3,2495.38,89421.79,26353.24,4571806.6,,48129.63,,,,5360.35,1369,56850,2305.4,489.36,,16952.79,,1080.09,1213.89,11677.29,,2684.21,494.66,12148.89,1465.64,,3520.63,408.76,18164.5,,3998.53
37,11/16/2013,2406.23,6493.59,675,1539.44,707.53,545.4,359886.59,3226.43,1261457.46,10000.96,3121.98,,427.08,441.84,5033.75,3220.09,139572.46,43888.6,6442685.5,,68034.15,48988.89,,,8894.54,2153.8,92200.74,3823.71,826.95,,28195.19,,1743.24,1955.16,19988.5,,4188.18,910.09,21254.47,1762.82,,3885,693.29,25550,,6575.22
38,11/23/2013,2862.85,9355.24,1104.68,2387.23,1100.96,851.11,581419.17,6057.9,1882794.19,21336.67,6418.47,,680.09,672.85,7994,7055,209051.25,64263.09,10414623.42,,128375.09,92009.09,,7000,14559.08,3302.47,127551.48,6222.08,1284.38,,41987.35,,3126.78,2992.87,27092.79,,6573.34,1177.43,30175.89,2060,,4249.38,1006.82,59393.55,,11829.51
39,11/30/2013,3319.46,10055.48,1204.55,2762.37,1095.35,1020.28,544046.55,5551.54,2145032.15,21241.62,6055.63,,795.86,619.6,7816.05,6356.31,239308.7,69372.37,11711919,,119663.81,77804.55,,6933.33,14152.81,3737.36,162902.22,6802.35,1402.11,,49070.57,,3138.63,3192.05,37007.5,,6557.85,1425,31854.79,2169.51,,4613.75,1044.06,47750,,11934.61
40,12/7/2013,3776.08,9121.14,1046.7,2336.88,973.05,818.76,482363.43,6102.78,1715778.87,18499.38,5655.56,,679.68,551.45,7205.55,5657.62,200467.59,59445.99,10627093.75,,107336.01,63600,,6866.67,11870.75,3314.76,98925,5052.41,1184.46,,42208.26,,2852.36,2784.4,31099.23,,6114.99,1121.8,27687.23,2279.01,,4978.13,954.45,48933.68,,10809.19
41,12/14/2013,3392.27,6928.43,813.26,1847.42,747.25,683.23,389276.5,3358.22,1410421.15,14156.96,4473.36,,512.76,423.98,5551.33,3832.41,119187.85,49308.25,6946880,,78256.53,62883.33,,6800,8932.3,2497.06,156612,4359.85,957.9,,31600.87,,2231.33,2405.36,24706.04,,4782.05,754.21,21932.27,1982.93,,5342.5,723.09,50117.35,,8438.53
42,12/21/2013,2763.39,7284,763.48,1846.56,815.8,660.75,389601.33,4006.93,1244557.02,13784.26,4600.26,,501.97,440.82,5339.78,4178.17,153017.95,46642.41,7427180,,84562.28,62166.67,,6733.33,8891.23,2299.59,114177.78,4063.67,932.12,,29814.89,,2064.95,2465.61,24772.28,,4649.56,876.79,21540.44,1686.84,,5706.88,740.94,51301.03,,8277.79
